,id,title,time,url,score,descendants,author,labels
0,38586767,Gooey: Turn almost any Python command line program into a full GUI application,1702161002,https://github.com/chriskiehl/Gooey,27,2,lsferreira42,0
1,38583881,Doug Engelbart’s 1968 demo,1702143906,https://dougengelbart.org/content/view/209/,168,68,gjvc,0
2,38553743,Sony debuts first PS5 controller for disabled gamers,1701933365,https://www.bbc.com/news/technology-67635851,67,27,thunderbong,0
3,38583489,Vulnerabilities in TETRA radio networks,1702141349,https://www.cryptomuseum.com/radio/tetra/burst.htm,163,66,porsupah,0
4,38586512,Firefox Keeps Getting Faster,1702159202,https://blog.mozilla.org/en/products/quick-as-a-fox-firefox-keeps-getting-faster/,56,22,goplayoutside,9
5,38581852,Murder is a pixel art ECS game engine in C#,1702129372,https://github.com/isadorasophia/murder,233,76,ibobev,2
6,38585213,Sneakers Film Promotional Floppy,1702151130,https://archive.org/details/Sneakers_Film_Promotional_Floppy,44,6,dcminter,0
7,38584336,Dynamic music and sound techniques for video games,1702146668,https://blog.gingerbeardman.com/2023/12/09/dynamic-music-and-sound-techniques-for-video-games/,43,10,ecliptik,0
8,38586773,A Matter of Millimeters: The story of Qantas flight 32,1702161035,https://admiralcloudberg.medium.com/a-matter-of-millimeters-the-story-of-qantas-flight-32-bdaa62dc98e7,4,0,xenophonf,0
9,38554281,"CPNG, a backwards compatible fork of PNG",1701938834,https://richg42.blogspot.com/2023/12/announcing-cpng-compatible-network.html,184,62,dirkf,0
10,38554310,Why a spritz of water before grinding coffee yields better results,1701939067,https://arstechnica.com/science/2023/12/study-why-a-spritz-of-water-before-grinding-coffee-yields-less-waste-tastier-espresso/,202,177,CHB0403085482,0
11,38565994,The Wizardry Frontier,1702016690,https://v5.chriskrycho.com/journal/wizardry-frontier/,5,0,signa11,0
12,38566906,The highly involved build process for my doctoral dissertation,1702026608,https://spwhitton.name//blog/entry/dissertmake/,36,27,pabs3,0
13,38553674,Programming Bottom-Up (1993),1701932635,http://www.paulgraham.com/progbot.html,32,11,tzury,0
14,38568323,Flatpack field hospitals that can be airdropped to disaster zones,1702039350,https://www.theguardian.com/global-development/2023/dec/08/india-aarogya-maitri-aid-cube-flatpack-field-hospital-for-remote-disaster-zones,169,50,tosh,0
